transaction_id,txn_date,preparer_id,approver_id,account,amount,description
T000001,2025-09-28,U0154,U0223,6080-Consulting,850.98,Consulting charge
T000002,2026-01-17,U0387,U0381,6060-Marketing,423.23,Marketing charge
T000003,2025-12-28,U0221,,6070-Utilities,1004.71,Utilities charge
T000004,2026-05-07,U0178,U0291,6100-Freight & Shipping,2631.56,Freight & Shipping charge
T000005,2026-06-15,U0264,,6010-Office Supplies,380.86,Office Supplies charge
T000006,2026-02-18,U0173,U0200,6080-Consulting,380.87,Consulting charge
T000007,2026-02-28,U0399,U0289,6060-Marketing,2799.33,Marketing charge
T000008,2025-10-02,U0158,,6050-Facilities,1146.17,Facilities charge
T000009,2026-06-12,U0023,,6050-Facilities,294.0,Facilities charge
T000010,2026-08-03,U0226,,6030-Professional Fees,894.99,Professional Fees charge
T000011,2026-07-11,U0396,,6040-IT Software,295.96,IT Software charge
T000012,2026-02-07,U0247,,6100-Freight & Shipping,295.21,Freight & Shipping charge
T000013,2026-08-01,U0120,,6030-Professional Fees,643.01,Professional Fees charge
T000014,2025-11-10,U0118,,6050-Facilities,60.06,Facilities charge
T000015,2026-04-09,U0080,,6030-Professional Fees,73.89,Professional Fees charge
T000016,2026-02-10,U0093,,6020-Travel & Entertainment,265.47,Travel & Entertainment charge
T000017,2025-12-04,U0070,U0023,6060-Marketing,161.72,Marketing charge
T000018,2026-03-31,U0180,,6070-Utilities,696.22,Utilities charge
T000019,2026-01-19,U0372,U0108,6030-Professional Fees,181.49,Professional Fees charge
T000020,2026-07-11,U0020,,6100-Freight & Shipping,104.22,Freight & Shipping charge
T000021,2026-07-03,U0133,U0049,6040-IT Software,2470.59,IT Software charge
T000022,2025-11-08,U0276,,6090-Equipment,384.39,Equipment charge
T000023,2026-03-11,U0381,,6030-Professional Fees,530.74,Professional Fees charge
T000024,2025-11-23,U0081,,6040-IT Software,102.8,IT Software charge
T000025,2026-01-17,U0013,,6070-Utilities,270.75,Utilities charge
T000026,2025-12-14,U0118,,6020-Travel & Entertainment,556.69,Travel & Entertainment charge
T000027,2026-07-13,U0253,,6080-Consulting,138.92,Consulting charge
T000028,2026-04-07,U0142,,6070-Utilities,744.91,Utilities charge
T000029,2026-02-08,U0218,,6070-Utilities,254.5,Utilities charge
T000030,2026-06-02,U0344,,6090-Equipment,357.5,Equipment charge
T000031,2026-05-25,U0027,,6020-Travel & Entertainment,254.2,Travel & Entertainment charge
T000032,2026-01-04,U0029,,6090-Equipment,3780.1,Equipment charge
T000033,2026-06-13,U0028,,6070-Utilities,485.49,Utilities charge
T000034,2025-12-07,U0033,,6050-Facilities,153.93,Facilities charge
T000035,2026-04-25,U0163,,6030-Professional Fees,1217.8,Professional Fees charge
T000036,2026-08-20,U0036,,6090-Equipment,128.65,Equipment charge
T000037,2026-04-20,U0377,U0337,6020-Travel & Entertainment,620.02,Travel & Entertainment charge
T000038,2025-11-09,U0315,,6070-Utilities,57.07,Utilities charge
T000039,2026-04-21,U0105,,6100-Freight & Shipping,114.32,Freight & Shipping charge
T000040,2025-10-17,U0262,,6050-Facilities,611.89,Facilities charge
T000041,2025-11-03,U0096,,6020-Travel & Entertainment,1110.22,Travel & Entertainment charge
T000042,2025-10-14,U0207,,6090-Equipment,594.97,Equipment charge
T000043,2026-07-11,U0295,,6030-Professional Fees,433.89,Professional Fees charge
T000044,2026-02-19,U0100,,6100-Freight & Shipping,353.82,Freight & Shipping charge
T000045,2025-11-14,U0096,U0175,6030-Professional Fees,96.89,Professional Fees charge
T000046,2026-04-17,U0175,U0077,6050-Facilities,223.22,Facilities charge
T000047,2025-09-02,U0118,U0288,6100-Freight & Shipping,296.87,Freight & Shipping charge
T000048,2026-06-06,U0288,,6010-Office Supplies,1576.3,Office Supplies charge
T000049,2026-06-29,U0126,,6080-Consulting,719.09,Consulting charge
T000050,2026-07-05,U0348,,6010-Office Supplies,70.86,Office Supplies charge
T000051,2026-07-19,U0361,U0108,6090-Equipment,703.8,Equipment charge
T000052,2025-09-29,U0087,,6060-Marketing,322.6,Marketing charge
T000053,2026-06-23,U0390,,6100-Freight & Shipping,234.02,Freight & Shipping charge
T000054,2025-10-26,U0033,U0163,6070-Utilities,965.69,Utilities charge
T000055,2026-08-05,U0353,,6100-Freight & Shipping,1531.65,Freight & Shipping charge
T000056,2026-06-24,U0263,U0170,6060-Marketing,1372.53,Marketing charge
T000057,2026-03-08,U0182,,6070-Utilities,195.75,Utilities charge
T000058,2025-10-04,U0317,U0157,6050-Facilities,350.68,Facilities charge
T000059,2026-05-28,U0186,,6070-Utilities,709.38,Utilities charge
T000060,2025-09-30,U0354,,6020-Travel & Entertainment,1441.01,Travel & Entertainment charge
T000061,2025-10-15,U0305,,6080-Consulting,290.88,Consulting charge
T000062,2026-04-07,U0164,U0332,6100-Freight & Shipping,401.73,Freight & Shipping charge
T000063,2026-03-01,U0363,,6030-Professional Fees,145.92,Professional Fees charge
T000064,2026-05-13,U0368,,6080-Consulting,132.18,Consulting charge
T000065,2026-08-29,U0134,U0018,6050-Facilities,1204.45,Facilities charge
T000066,2026-07-18,U0269,U0359,6020-Travel & Entertainment,2190.45,Travel & Entertainment charge
T000067,2026-03-31,U0239,,6010-Office Supplies,455.22,Office Supplies charge
T000068,2025-12-18,U0372,,6010-Office Supplies,1486.06,Office Supplies charge
T000069,2025-10-05,U0146,,6050-Facilities,733.48,Facilities charge
T000070,2025-10-29,U0008,,6060-Marketing,242.35,Marketing charge
T000071,2025-09-15,U0356,,6030-Professional Fees,733.29,Professional Fees charge
T000072,2026-05-04,U0393,,6080-Consulting,2675.36,Consulting charge
T000073,2025-11-19,U0278,,6080-Consulting,473.71,Consulting charge
T000074,2026-04-25,U0189,U0301,6070-Utilities,2754.82,Utilities charge
T000075,2026-06-17,U0170,U0333,6060-Marketing,27.61,Marketing charge
T000076,2026-02-17,U0399,U0023,6060-Marketing,1216.94,Marketing charge
T000077,2026-03-12,U0191,,6090-Equipment,542.26,Equipment charge
T000078,2025-12-05,U0223,,6100-Freight & Shipping,354.64,Freight & Shipping charge
T000079,2026-08-28,U0174,U0053,6060-Marketing,545.08,Marketing charge
T000080,2025-12-31,U0287,,6060-Marketing,55.35,Marketing charge
T000081,2026-05-27,U0125,,6050-Facilities,386.98,Facilities charge
T000082,2025-12-13,U0027,U0280,6020-Travel & Entertainment,729.84,Travel & Entertainment charge
T000083,2025-11-18,U0289,,6040-IT Software,2504.1,IT Software charge
T000084,2026-02-06,U0302,,6060-Marketing,278.64,Marketing charge
T000085,2026-08-13,U0298,U0222,6030-Professional Fees,202.48,Professional Fees charge
T000086,2025-10-30,U0301,U0345,6010-Office Supplies,283.74,Office Supplies charge
T000087,2026-02-18,U0053,U0387,6080-Consulting,1348.76,Consulting charge
T000088,2025-09-12,U0176,,6100-Freight & Shipping,707.42,Freight & Shipping charge
T000089,2026-02-12,U0122,U0181,6040-IT Software,275.14,IT Software charge
T000090,2026-08-10,U0255,U0068,6020-Travel & Entertainment,866.61,Travel & Entertainment charge
T000091,2026-07-16,U0013,U0202,6090-Equipment,548.28,Equipment charge
T000092,2026-02-11,U0317,,6050-Facilities,1430.11,Facilities charge
T000093,2026-06-21,U0162,,6040-IT Software,227.63,IT Software charge
T000094,2026-06-04,U0191,U0395,6080-Consulting,343.63,Consulting charge
T000095,2025-10-25,U0033,,6070-Utilities,320.12,Utilities charge
T000096,2026-08-27,U0105,,6100-Freight & Shipping,98.51,Freight & Shipping charge
T000097,2026-07-13,U0258,,6060-Marketing,682.48,Marketing charge
T000098,2026-06-01,U0392,,6020-Travel & Entertainment,656.66,Travel & Entertainment charge
T000099,2026-06-18,U0269,,6030-Professional Fees,495.53,Professional Fees charge
T000100,2025-10-20,U0270,,6080-Consulting,380.68,Consulting charge
T000101,2026-04-29,U0269,U0359,6040-IT Software,103.87,IT Software charge
T000102,2026-03-06,U0148,,6070-Utilities,310.22,Utilities charge
T000103,2026-02-14,U0187,U0067,6080-Consulting,337.99,Consulting charge
T000104,2026-05-04,U0201,U0200,6080-Consulting,203.87,Consulting charge
T000105,2026-06-22,U0350,,6030-Professional Fees,412.64,Professional Fees charge
T000106,2026-02-14,U0064,,6090-Equipment,768.51,Equipment charge
T000107,2026-04-25,U0307,U0139,6070-Utilities,3923.76,Utilities charge
T000108,2025-11-21,U0316,,6080-Consulting,597.07,Consulting charge
T000109,2026-04-09,U0341,,6070-Utilities,654.13,Utilities charge
T000110,2025-11-28,U0135,,6020-Travel & Entertainment,454.01,Travel & Entertainment charge
T000111,2025-10-29,U0281,,6100-Freight & Shipping,59.7,Freight & Shipping charge
T000112,2026-04-16,U0059,,6030-Professional Fees,478.59,Professional Fees charge
T000113,2025-10-26,U0347,,6100-Freight & Shipping,526.5,Freight & Shipping charge
T000114,2026-07-28,U0286,U0336,6010-Office Supplies,7402.45,Office Supplies charge
T000115,2025-09-01,U0371,,6030-Professional Fees,398.78,Professional Fees charge
T000116,2026-03-19,U0166,U0398,6100-Freight & Shipping,686.57,Freight & Shipping charge
T000117,2026-02-01,U0179,,6100-Freight & Shipping,474.29,Freight & Shipping charge
T000118,2026-02-24,U0251,,6020-Travel & Entertainment,136.24,Travel & Entertainment charge
T000119,2026-03-26,U0295,U0318,6030-Professional Fees,1732.13,Professional Fees charge
T000120,2025-09-01,U0036,,6090-Equipment,1126.79,Equipment charge
T000121,2025-09-16,U0161,,6040-IT Software,1176.31,IT Software charge
T000122,2026-02-10,U0364,,6070-Utilities,181.21,Utilities charge
T000123,2026-08-06,U0123,U0221,6030-Professional Fees,2305.55,Professional Fees charge
T000124,2026-04-02,U0206,,6030-Professional Fees,105.42,Professional Fees charge
T000125,2025-11-08,U0074,U0282,6010-Office Supplies,939.68,Office Supplies charge
T000126,2026-04-12,U0385,U0239,6030-Professional Fees,5483.51,Professional Fees charge
T000127,2026-08-23,U0263,,6100-Freight & Shipping,165.74,Freight & Shipping charge
T000128,2026-05-19,U0262,,6070-Utilities,264.3,Utilities charge
T000129,2025-12-25,U0203,U0289,6030-Professional Fees,549.83,Professional Fees charge
T000130,2026-08-31,U0136,,6090-Equipment,283.21,Equipment charge
T000131,2026-03-07,U0332,,6010-Office Supplies,89.5,Office Supplies charge
T000132,2025-10-28,U0211,,6100-Freight & Shipping,531.35,Freight & Shipping charge
T000133,2026-05-28,U0084,U0354,6050-Facilities,153.16,Facilities charge
T000134,2026-01-04,U0054,,6080-Consulting,829.61,Consulting charge
T000135,2025-10-10,U0391,,6090-Equipment,179.22,Equipment charge
T000136,2026-02-23,U0036,,6090-Equipment,2710.61,Equipment charge
T000137,2026-04-29,U0296,,6100-Freight & Shipping,208.18,Freight & Shipping charge
T000138,2026-01-27,U0167,,6030-Professional Fees,345.76,Professional Fees charge
T000139,2026-06-16,U0172,,6050-Facilities,1205.76,Facilities charge
T000140,2026-06-21,U0099,U0364,6010-Office Supplies,127.24,Office Supplies charge
T000141,2026-01-25,U0020,,6080-Consulting,632.83,Consulting charge
T000142,2026-01-08,U0159,U0147,6030-Professional Fees,2075.29,Professional Fees charge
T000143,2025-10-28,U0013,,6100-Freight & Shipping,84.08,Freight & Shipping charge
T000144,2026-08-04,U0089,U0136,6080-Consulting,603.71,Consulting charge
T000145,2025-12-02,U0280,,6090-Equipment,655.81,Equipment charge
T000146,2025-11-14,U0052,U0287,6100-Freight & Shipping,1164.45,Freight & Shipping charge
T000147,2026-03-16,U0238,,6040-IT Software,126.39,IT Software charge
T000148,2025-12-17,U0098,,6100-Freight & Shipping,115.3,Freight & Shipping charge
T000149,2026-01-14,U0375,,6020-Travel & Entertainment,874.92,Travel & Entertainment charge
T000150,2026-02-02,U0275,,6080-Consulting,683.13,Consulting charge
T000151,2025-12-29,U0307,,6070-Utilities,649.07,Utilities charge
T000152,2025-11-14,U0150,U0260,6090-Equipment,721.33,Equipment charge
T000153,2026-08-14,U0219,,6060-Marketing,233.22,Marketing charge
T000154,2025-10-20,U0029,,6090-Equipment,636.18,Equipment charge
T000155,2026-07-10,U0250,U0060,6050-Facilities,680.2,Facilities charge
T000156,2026-08-02,U0146,,6100-Freight & Shipping,224.58,Freight & Shipping charge
T000157,2026-08-11,U0138,,6100-Freight & Shipping,3836.64,Freight & Shipping charge
T000158,2026-08-20,U0395,U0009,6030-Professional Fees,829.83,Professional Fees charge
T000159,2025-09-07,U0043,U0259,6070-Utilities,132.9,Utilities charge
T000160,2025-12-22,U0201,U0362,6050-Facilities,1014.56,Facilities charge
T000161,2025-09-30,U0056,,6100-Freight & Shipping,168.65,Freight & Shipping charge
T000162,2026-07-24,U0347,U0351,6020-Travel & Entertainment,1171.21,Travel & Entertainment charge
T000163,2026-03-12,U0076,U0066,6100-Freight & Shipping,1762.44,Freight & Shipping charge
T000164,2026-01-08,U0108,,6050-Facilities,199.79,Facilities charge
T000165,2026-04-21,U0374,,6050-Facilities,1421.85,Facilities charge
T000166,2026-02-13,U0390,U0040,6050-Facilities,775.93,Facilities charge
T000167,2026-03-18,U0219,U0151,6060-Marketing,1217.15,Marketing charge
T000168,2026-04-14,U0105,,6020-Travel & Entertainment,3969.81,Travel & Entertainment charge
T000169,2026-03-21,U0353,U0311,6030-Professional Fees,376.18,Professional Fees charge
T000170,2025-12-21,U0249,,6100-Freight & Shipping,215.05,Freight & Shipping charge
T000171,2025-10-23,U0148,,6010-Office Supplies,185.22,Office Supplies charge
T000172,2026-04-17,U0144,U0375,6010-Office Supplies,200.86,Office Supplies charge
T000173,2025-09-20,U0001,,6070-Utilities,452.68,Utilities charge
T000174,2026-06-22,U0225,,6010-Office Supplies,717.14,Office Supplies charge
T000175,2026-05-03,U0284,,6070-Utilities,668.05,Utilities charge
T000176,2026-06-20,U0359,U0188,6040-IT Software,5000.0,IT Software charge
T000177,2026-02-03,U0398,,6070-Utilities,1224.03,Utilities charge
T000178,2025-10-17,U0379,,6060-Marketing,499.85,Marketing charge
T000179,2026-04-24,U0050,U0028,6050-Facilities,2437.89,Facilities charge
T000180,2026-08-05,U0220,,6040-IT Software,368.29,IT Software charge
T000181,2026-07-20,U0064,U0255,6060-Marketing,9820.1,Marketing charge
T000182,2025-11-11,U0112,,6010-Office Supplies,980.67,Office Supplies charge
T000183,2026-01-01,U0342,,6080-Consulting,191.93,Consulting charge
T000184,2026-02-05,U0376,,6080-Consulting,151.72,Consulting charge
T000185,2025-09-09,U0260,,6010-Office Supplies,837.75,Office Supplies charge
T000186,2026-03-27,U0029,,6020-Travel & Entertainment,385.36,Travel & Entertainment charge
T000187,2026-04-23,U0301,,6090-Equipment,1080.74,Equipment charge
T000188,2025-09-19,U0045,U0361,6030-Professional Fees,829.28,Professional Fees charge
T000189,2025-10-25,U0359,U0341,6030-Professional Fees,4900.0,Professional Fees charge
T000190,2025-10-25,U0041,,6020-Travel & Entertainment,454.81,Travel & Entertainment charge
T000191,2025-10-03,U0127,,6040-IT Software,194.13,IT Software charge
T000192,2026-03-25,U0396,,6060-Marketing,93.1,Marketing charge
T000193,2025-11-10,U0315,,6060-Marketing,301.52,Marketing charge
T000194,2026-07-01,U0031,U0085,6030-Professional Fees,1264.0,Professional Fees charge
T000195,2025-11-26,U0239,,6060-Marketing,623.6,Marketing charge
T000196,2025-09-21,U0335,,6030-Professional Fees,125.17,Professional Fees charge
T000197,2025-09-06,U0162,U0383,6030-Professional Fees,4950.0,Professional Fees charge
T000198,2026-01-24,U0342,,6070-Utilities,596.15,Utilities charge
T000199,2026-08-21,U0275,,6030-Professional Fees,752.84,Professional Fees charge
T000200,2026-04-19,U0301,U0027,6070-Utilities,186.37,Utilities charge
T000201,2025-12-02,U0345,U0171,6080-Consulting,583.53,Consulting charge
T000202,2026-04-03,U0200,U0307,6010-Office Supplies,525.33,Office Supplies charge
T000203,2026-07-14,U0058,,6060-Marketing,140.15,Marketing charge
T000204,2025-12-22,U0293,,6080-Consulting,730.38,Consulting charge
T000205,2025-09-28,U0158,U0275,6040-IT Software,913.12,IT Software charge
T000206,2025-11-30,U0287,U0379,6030-Professional Fees,1621.9,Professional Fees charge
T000207,2026-01-24,U0208,,6040-IT Software,1570.55,IT Software charge
T000208,2025-09-23,U0262,,6020-Travel & Entertainment,108.26,Travel & Entertainment charge
T000209,2025-11-20,U0104,U0136,6010-Office Supplies,175.63,Office Supplies charge
T000210,2026-07-01,U0257,U0396,6100-Freight & Shipping,868.3,Freight & Shipping charge
T000211,2025-12-27,U0183,U0239,6020-Travel & Entertainment,867.11,Travel & Entertainment charge
T000212,2026-03-12,U0117,,6040-IT Software,868.31,IT Software charge
T000213,2026-04-12,U0036,U0106,6030-Professional Fees,34132.48,Professional Fees charge
T000214,2026-03-11,U0222,U0205,6030-Professional Fees,923.32,Professional Fees charge
T000215,2025-12-13,U0154,,6060-Marketing,1718.35,Marketing charge
T000216,2026-01-22,U0039,,6030-Professional Fees,1407.26,Professional Fees charge
T000217,2025-11-27,U0242,U0093,6060-Marketing,1008.81,Marketing charge
T000218,2026-07-11,U0372,,6030-Professional Fees,348.35,Professional Fees charge
T000219,2025-10-15,U0132,,6070-Utilities,1135.54,Utilities charge
T000220,2026-06-30,U0125,U0249,6080-Consulting,210.59,Consulting charge
T000221,2026-01-05,U0142,U0342,6060-Marketing,379.74,Marketing charge
T000222,2026-06-21,U0088,U0273,6010-Office Supplies,288.91,Office Supplies charge
T000223,2025-09-18,U0292,,6070-Utilities,539.19,Utilities charge
T000224,2026-04-20,U0060,U0011,6080-Consulting,6286.28,Consulting charge
T000225,2025-12-21,U0235,U0055,6030-Professional Fees,63.18,Professional Fees charge
T000226,2026-05-04,U0014,,6050-Facilities,1048.26,Facilities charge
T000227,2026-06-26,U0328,,6010-Office Supplies,83.6,Office Supplies charge
T000228,2026-08-27,U0081,,6070-Utilities,293.21,Utilities charge
T000229,2026-04-26,U0364,U0188,6010-Office Supplies,1632.46,Office Supplies charge
T000230,2025-09-17,U0306,U0355,6050-Facilities,528.85,Facilities charge
T000231,2026-06-22,U0313,U0189,6040-IT Software,150.58,IT Software charge
T000232,2026-05-22,U0037,U0211,6060-Marketing,224.34,Marketing charge
T000233,2026-07-14,U0269,U0323,6010-Office Supplies,1040.6,Office Supplies charge
T000234,2026-06-15,U0043,,6040-IT Software,220.65,IT Software charge
T000235,2025-10-29,U0311,,6080-Consulting,625.22,Consulting charge
T000236,2025-12-25,U0122,U0398,6060-Marketing,518.08,Marketing charge
T000237,2026-01-20,U0245,,6010-Office Supplies,240.62,Office Supplies charge
T000238,2026-05-15,U0280,U0308,6090-Equipment,5210.02,Equipment charge
T000239,2026-05-31,U0396,,6050-Facilities,989.61,Facilities charge
T000240,2026-08-21,U0393,,6020-Travel & Entertainment,53.11,Travel & Entertainment charge
T000241,2025-10-12,U0053,U0048,6070-Utilities,604.92,Utilities charge
T000242,2025-11-24,U0065,U0090,6050-Facilities,237.94,Facilities charge
T000243,2026-05-25,U0119,,6010-Office Supplies,1258.5,Office Supplies charge
T000244,2025-11-07,U0313,,6080-Consulting,206.07,Consulting charge
T000245,2025-09-11,U0377,U0133,6050-Facilities,434.32,Facilities charge
T000246,2026-07-28,U0300,,6060-Marketing,858.76,Marketing charge
T000247,2026-02-15,U0377,,6080-Consulting,1277.08,Consulting charge
T000248,2026-04-16,U0316,U0173,6080-Consulting,131.59,Consulting charge
T000249,2026-01-12,U0100,,6040-IT Software,341.06,IT Software charge
T000250,2025-11-15,U0032,,6060-Marketing,292.24,Marketing charge
T000251,2025-11-22,U0359,,6090-Equipment,240.17,Equipment charge
T000252,2025-11-18,U0390,U0179,6030-Professional Fees,3435.78,Professional Fees charge
T000253,2025-11-04,U0331,U0323,6080-Consulting,769.3,Consulting charge
T000254,2026-08-07,U0025,U0260,6060-Marketing,123.1,Marketing charge
T000255,2025-11-23,U0311,,6090-Equipment,1352.42,Equipment charge
T000256,2026-05-14,U0234,U0091,6030-Professional Fees,5086.64,Professional Fees charge
T000257,2026-06-07,U0004,,6090-Equipment,1534.12,Equipment charge
T000258,2026-01-27,U0274,,6100-Freight & Shipping,92.64,Freight & Shipping charge
T000259,2026-02-21,U0256,,6020-Travel & Entertainment,289.26,Travel & Entertainment charge
T000260,2026-08-14,U0082,U0361,6090-Equipment,1985.45,Equipment charge
T000261,2026-04-17,U0127,U0376,6060-Marketing,226.23,Marketing charge
T000262,2026-06-26,U0114,,6090-Equipment,802.88,Equipment charge
T000263,2025-12-10,U0159,,6010-Office Supplies,1155.28,Office Supplies charge
T000264,2026-08-10,U0395,,6020-Travel & Entertainment,177.75,Travel & Entertainment charge
T000265,2026-02-10,U0284,,6100-Freight & Shipping,461.52,Freight & Shipping charge
T000266,2026-03-04,U0390,,6070-Utilities,15.0,Utilities charge
T000267,2026-04-17,U0039,U0258,6060-Marketing,4999.0,Marketing charge
T000268,2026-04-15,U0239,,6050-Facilities,159.68,Facilities charge
T000269,2026-04-01,U0246,,6030-Professional Fees,373.22,Professional Fees charge
