transaction_id,txn_date,preparer_id,amount,account,is_weekend,has_approver,is_round_amount,anomaly_raw_score
T000942,2025-12-13,U0039,9800.0,6100-Freight & Shipping,1,1,1,-0.10270238631317485
T001104,2026-07-04,U0146,9800.0,6050-Facilities,1,1,1,-0.10270238631317485
T002060,2025-11-15,U0162,9800.0,6060-Marketing,1,1,1,-0.10270238631317485
T005694,2026-06-06,U0100,9800.0,6090-Equipment,1,1,1,-0.10270238631317485
T005217,2025-10-25,U0100,9800.0,6070-Utilities,1,1,1,-0.10270238631317485
T004600,2026-06-13,U0100,9800.0,6050-Facilities,1,1,1,-0.10270238631317485
T003713,2026-03-28,U0146,9800.0,6030-Professional Fees,1,1,1,-0.10270238631317485
T003750,2026-03-28,U0100,9800.0,6050-Facilities,1,1,1,-0.10270238631317485
T005698,2026-08-29,U0162,9800.0,6060-Marketing,1,1,1,-0.10270238631317485
T004933,2026-03-21,U0359,9900.0,6070-Utilities,1,1,1,-0.10200749862084169
T004553,2026-01-17,U0039,9900.0,6050-Facilities,1,1,1,-0.10200749862084169
T000965,2025-11-22,U0146,9900.0,6090-Equipment,1,1,1,-0.10200749862084169
T001888,2026-03-21,U0117,9900.0,6070-Utilities,1,1,1,-0.10200749862084169
T000547,2025-11-29,U0162,9900.0,6010-Office Supplies,1,1,1,-0.10200749862084169
T004738,2026-03-14,U0117,9900.0,6100-Freight & Shipping,1,1,1,-0.10200749862084169
T005534,2025-11-15,U0146,9900.0,6080-Consulting,1,1,1,-0.10200749862084169
T005761,2026-06-13,U0359,9900.0,6060-Marketing,1,1,1,-0.10200749862084169
T005771,2026-03-07,U0146,9900.0,6010-Office Supplies,1,1,1,-0.10200749862084169
T001960,2026-06-24,U0359,9900.0,6020-Travel & Entertainment,0,1,1,-0.09621279749569644
T005582,2026-03-19,U0039,9900.0,6010-Office Supplies,0,1,1,-0.09621279749569644
T005328,2026-06-08,U0359,9800.0,6020-Travel & Entertainment,0,1,1,-0.09569596224388033
T002725,2025-11-22,U0162,5000.0,6010-Office Supplies,1,0,1,-0.0893911784336977
T004641,2026-01-10,U0146,5000.0,6080-Consulting,1,1,1,-0.0876343017667619
T003994,2025-11-22,U0039,5000.0,6050-Facilities,1,1,1,-0.0876343017667619
T001988,2026-03-22,U0162,5000.0,6030-Professional Fees,1,1,1,-0.0876343017667619
T001495,2025-11-23,U0117,5000.0,6080-Consulting,1,1,1,-0.0876343017667619
T000315,2025-10-25,U0359,5000.0,6030-Professional Fees,1,1,1,-0.0876343017667619
T003160,2025-12-20,U0100,5000.0,6040-IT Software,1,1,1,-0.0876343017667619
T000176,2026-06-20,U0359,5000.0,6040-IT Software,1,1,1,-0.0876343017667619
T005094,2026-05-16,U0146,5000.0,6100-Freight & Shipping,1,1,1,-0.0876343017667619
T002886,2026-04-04,U0146,4900.0,6080-Consulting,1,0,1,-0.08739623444633593
T001524,2026-02-15,U0162,4900.0,6060-Marketing,1,0,1,-0.08739623444633593
T003620,2026-02-07,U0100,4900.0,6050-Facilities,1,0,1,-0.08739623444633593
T005440,2026-01-11,U0359,4900.0,6040-IT Software,1,0,1,-0.08739623444633593
T005516,2026-05-03,U0039,4900.0,6070-Utilities,1,0,1,-0.08739623444633593
T004308,2026-08-01,U0100,4900.0,6010-Office Supplies,1,0,1,-0.08739623444633593
T004788,2025-10-25,U0039,4900.0,6080-Consulting,1,0,1,-0.08739623444633593
T004615,2026-02-28,U0117,4900.0,6070-Utilities,1,0,1,-0.08739623444633593
T004825,2026-02-01,U0146,4900.0,6100-Freight & Shipping,1,0,1,-0.08739623444633593
T005042,2025-11-08,U0162,4900.0,6010-Office Supplies,1,1,1,-0.08729357460261944
T002705,2026-02-14,U0162,4900.0,6010-Office Supplies,1,1,1,-0.08729357460261944
T003456,2026-03-07,U0039,4900.0,6070-Utilities,1,1,1,-0.08729357460261944
T000189,2025-10-25,U0359,4900.0,6030-Professional Fees,1,1,1,-0.08729357460261944
T001758,2026-03-14,U0117,4900.0,6100-Freight & Shipping,1,1,1,-0.08729357460261944
T001002,2025-09-14,U0162,4900.0,6040-IT Software,1,1,1,-0.08729357460261944
T001690,2025-10-30,U0162,9800.0,6100-Freight & Shipping,0,0,1,-0.08061734339054805
T002667,2026-07-31,U0146,5000.0,6050-Facilities,0,1,1,-0.06706490266761811
T000588,2026-07-15,U0162,5000.0,6100-Freight & Shipping,0,1,1,-0.06706490266761811
T002450,2026-08-07,U0100,5000.0,6090-Equipment,0,1,1,-0.06706490266761811
T003653,2025-10-31,U0100,4900.0,6020-Travel & Entertainment,0,1,1,-0.06689915834284177
T004942,2026-02-28,U0100,2000.0,6070-Utilities,1,1,1,-0.06459563637377685
T002825,2025-09-24,U0039,4900.0,6080-Consulting,0,0,1,-0.061404982636284355
T003413,2026-06-16,U0117,4900.0,6030-Professional Fees,0,0,1,-0.061404982636284355
T005634,2025-11-15,U0162,2000.0,6010-Office Supplies,1,0,1,-0.054336137865253376
T003989,2026-01-17,U0162,2000.0,6040-IT Software,1,0,1,-0.054336137865253376
T003990,2026-06-06,U0359,2000.0,6010-Office Supplies,1,0,1,-0.054336137865253376
T001298,2026-06-07,U0162,2000.0,6070-Utilities,1,0,1,-0.054336137865253376
T005112,2026-06-28,U0100,2000.0,6050-Facilities,1,0,1,-0.054336137865253376
T000408,2026-03-22,U0117,2000.0,6010-Office Supplies,1,0,1,-0.054336137865253376
T002783,2026-04-25,U0359,2000.0,6060-Marketing,1,0,1,-0.054336137865253376
T001400,2025-09-28,U0359,2000.0,6080-Consulting,1,0,1,-0.054336137865253376
T001078,2025-10-04,U0137,21.47,6090-Equipment,1,1,0,-0.023470188464153052
T002931,2026-08-30,U0177,23.99,6030-Professional Fees,1,1,0,-0.0211351729919681
T001777,2026-07-05,U0168,25.19,6070-Utilities,1,1,0,-0.020513835133162073
T000213,2026-04-12,U0036,34132.48,6030-Professional Fees,1,1,0,-0.020176266763819006
T001455,2026-04-29,U0146,2000.0,6020-Travel & Entertainment,0,1,1,-0.01927645971772396
T004813,2025-12-23,U0024,15.07,6070-Utilities,0,1,0,-0.01867198344570753
T002057,2026-02-19,U0281,17.79,6030-Professional Fees,0,1,0,-0.01820759350364709
T004720,2026-06-12,U0368,19.97,6100-Freight & Shipping,0,1,0,-0.01789817471850763
T005616,2026-02-07,U0267,30.42,6050-Facilities,1,1,0,-0.017415539724637163
T001956,2026-06-27,U0319,30.47,6060-Marketing,1,1,0,-0.017415539724637163
T004701,2026-03-11,U0044,21.73,6090-Equipment,0,1,0,-0.016353172547847405
T003066,2025-09-10,U0277,21.86,6020-Travel & Entertainment,0,1,0,-0.016044590024653416
T002342,2026-08-22,U0026,15076.77,6080-Consulting,1,1,0,-0.01488810506618421
T002943,2025-09-30,U0143,37006.97,6030-Professional Fees,0,1,0,-0.014499399373741784
T005323,2026-03-14,U0333,12446.86,6070-Utilities,1,1,0,-0.01304265564667062
T005961,2026-08-30,U0362,12332.55,6030-Professional Fees,1,1,0,-0.01304265564667062
T004270,2025-09-21,U0249,18.02,6100-Freight & Shipping,1,0,0,-0.01170683554029417
T002004,2025-09-13,U0214,19.41,6080-Consulting,1,0,0,-0.01170683554029417
T001616,2025-09-20,U0301,19.82,6070-Utilities,1,0,0,-0.01170683554029417
T003293,2026-06-07,U0115,11559.27,6090-Equipment,1,1,0,-0.011661842478989048
T004724,2026-06-28,U0384,21.86,6080-Consulting,1,0,0,-0.011093999291654333
T005700,2026-07-21,U0261,24.21,6100-Freight & Shipping,0,1,0,-0.010756435535068776
T004075,2025-10-23,U0148,25.16,6080-Consulting,0,1,0,-0.010297399333063062
T000656,2025-10-03,U0258,25.37,6070-Utilities,0,1,0,-0.009991547696118874
T003779,2026-08-25,U0113,17455.36,6010-Office Supplies,0,1,0,-0.009546807033077087
T000678,2025-09-15,U0243,26.68,6010-Office Supplies,0,1,0,-0.008114161755007454
T001640,2026-01-12,U0222,16521.51,6060-Marketing,0,1,0,-0.007975457263414198
T002069,2025-09-21,U0132,10256.08,6040-IT Software,1,1,0,-0.00796173260415256
T000266,2026-03-04,U0390,15.0,6070-Utilities,0,0,0,-0.007206390755622016
T004868,2025-10-16,U0202,15.0,6090-Equipment,0,0,0,-0.007206390755622016
T004049,2026-03-11,U0123,15792.06,6100-Freight & Shipping,0,1,0,-0.0067570635613172225
T001990,2026-01-07,U0234,15545.45,6090-Equipment,0,1,0,-0.006604918855807496
T005090,2025-12-18,U0127,15126.47,6090-Equipment,0,1,0,-0.006452808459437298
T002847,2026-04-11,U0367,9531.31,6050-Facilities,1,1,0,-0.006439114718353345
T000075,2026-06-17,U0170,27.61,6060-Marketing,0,1,0,-0.006157533349298916
T000486,2025-12-26,U0243,14570.71,6030-Professional Fees,0,1,0,-0.006148690563170134
T004961,2026-08-26,U0235,14538.37,6060-Marketing,0,1,0,-0.006148690563170134
T005911,2025-09-19,U0088,14885.3,6060-Marketing,0,1,0,-0.006148690563170134
T004940,2026-08-29,U0064,27.46,6040-IT Software,1,0,0,-0.005603280333145166
T002995,2025-10-24,U0009,18.35,6100-Freight & Shipping,0,0,0,-0.005229868043959862
T001375,2026-08-22,U0331,28.5,6070-Utilities,1,0,0,-0.0051477295062171136
T003539,2025-09-16,U0119,28.12,6090-Equipment,0,1,0,-0.005094186364409059
T003512,2026-02-13,U0372,19.64,6010-Office Supplies,0,0,0,-0.004622872130691569
T003203,2025-10-27,U0286,20.13,6100-Freight & Shipping,0,0,0,-0.0040164235506782164
T005072,2025-10-05,U0250,42.84,6050-Facilities,1,1,0,-0.0037183866559749035
T005728,2026-01-24,U0386,29.7,6010-Office Supplies,1,0,0,-0.0031772336906453758
T001119,2026-01-29,U0325,20.37,6010-Office Supplies,0,0,0,-0.0028996380377632747
T002153,2026-03-09,U0126,29.41,6020-Travel & Entertainment,0,1,0,-0.0022388273709104123
T002560,2025-12-26,U0040,13144.84,6100-Freight & Shipping,0,1,0,-0.0022076155079785442
T002545,2025-09-17,U0381,12632.19,6040-IT Software,0,1,0,-0.001874082457517856
T001966,2026-07-05,U0048,9034.25,6070-Utilities,1,1,0,-0.0016121493259640962
T001564,2025-11-05,U0147,20.92,6060-Marketing,0,0,0,-0.001508079441441934
T005256,2025-09-15,U0217,12209.76,6040-IT Software,0,1,0,-0.0005159158099087291
T003580,2026-02-15,U0058,31.73,6040-IT Software,1,0,0,-0.00046270366997658297
T001178,2026-03-08,U0356,31.52,6060-Marketing,1,0,0,-0.00046270366997658297
T004491,2026-04-18,U0272,31.57,6070-Utilities,1,0,0,-0.00046270366997658297
T004279,2026-04-15,U0384,21.33,6070-Utilities,0,0,0,-0.0004520667650891319
T003079,2026-01-26,U0081,31.91,6060-Marketing,0,1,0,-0.00042756498231266704
