user_id,role_id,role_name,system,granted_date,granted_by,access_end_date
U0263,R07,GL Approver,ERP-PROD,2026-04-11,U0071,
U0272,R05,Purchasing Approver,ERP-PROD,2023-06-17,U0400,
U0114,R09,Read-Only Reporting,ERP-PROD,2025-10-19,U0171,
U0319,R08,System Administrator,ERP-PROD,2026-07-01,U0244,
U0070,R04,Purchasing Buyer,ERP-PROD,2022-08-10,U0099,
U0031,R08,System Administrator,ERP-PROD,2025-08-25,U0159,
U0181,R02,AP Approver,ERP-PROD,2025-07-26,U0147,
U0079,R10,HR Generalist,ERP-PROD,2020-12-13,U0382,
U0332,R02,AP Approver,ERP-PROD,2023-09-27,U0138,
U0327,R06,GL Preparer,ERP-PROD,2023-03-14,U0128,
U0056,R10,HR Generalist,ERP-PROD,2024-01-08,U0357,
U0143,R08,System Administrator,ERP-PROD,2026-06-24,U0376,
U0338,R06,GL Preparer,ERP-PROD,2021-06-22,U0198,
U0288,R11,Sales Rep,ERP-PROD,2022-06-12,U0399,
U0360,R09,Read-Only Reporting,ERP-PROD,2022-09-22,U0188,2024-10-22
U0370,R09,Read-Only Reporting,ERP-PROD,2023-06-05,U0282,
U0075,R09,Read-Only Reporting,ERP-PROD,2023-07-22,U0289,
U0228,R09,Read-Only Reporting,ERP-PROD,2022-04-22,U0238,
U0280,R11,Sales Rep,ERP-PROD,2025-09-16,U0301,
U0077,R08,System Administrator,ERP-PROD,2025-02-18,U0089,
U0159,R01,AP Clerk,ERP-PROD,2024-01-23,,
U0010,R10,HR Generalist,ERP-PROD,2021-10-21,U0237,
U0088,R10,HR Generalist,ERP-PROD,2025-06-07,U0229,
U0091,R06,GL Preparer,ERP-PROD,2021-09-10,U0332,
U0113,R07,GL Approver,ERP-PROD,2024-12-31,U0162,
U0274,R08,System Administrator,ERP-PROD,2019-10-30,U0282,
U0072,R08,System Administrator,ERP-PROD,2021-06-27,U0045,
U0081,R05,Purchasing Approver,ERP-PROD,2021-08-31,U0138,
U0196,R08,System Administrator,ERP-PROD,2025-10-20,U0132,
U0040,R11,Sales Rep,ERP-PROD,2021-05-27,U0341,
U0152,R03,Vendor Master Maintainer,ERP-PROD,2023-03-04,U0343,
U0400,R08,System Administrator,ERP-PROD,2025-09-11,U0299,
U0073,R05,Purchasing Approver,ERP-PROD,2023-01-26,U0267,
U0306,R09,Read-Only Reporting,ERP-PROD,2024-06-15,U0295,
U0133,R08,System Administrator,ERP-PROD,2026-03-27,U0059,
U0289,R02,AP Approver,ERP-PROD,2026-06-02,U0191,
U0377,R11,Sales Rep,ERP-PROD,2024-08-02,U0188,
U0076,R05,Purchasing Approver,ERP-PROD,2026-06-26,U0136,
U0344,R03,Vendor Master Maintainer,ERP-PROD,2021-11-29,U0300,
U0220,R10,HR Generalist,ERP-PROD,2025-10-03,U0003,
U0221,R07,GL Approver,ERP-PROD,2025-01-01,U0185,
U0237,R03,Vendor Master Maintainer,ERP-PROD,2025-10-16,U0193,
U0111,R04,Purchasing Buyer,ERP-PROD,2025-08-20,U0100,
U0398,R04,Purchasing Buyer,ERP-PROD,2025-06-13,,
U0212,R08,System Administrator,ERP-PROD,2021-07-14,U0212,
U0333,R09,Read-Only Reporting,ERP-PROD,2025-09-24,U0047,
U0099,R08,System Administrator,ERP-PROD,2023-03-13,U0328,
U0078,R07,GL Approver,ERP-PROD,2021-10-20,U0203,
U0034,R09,Read-Only Reporting,ERP-PROD,2026-06-03,U0166,
U0123,R09,Read-Only Reporting,ERP-PROD,2026-03-06,U0373,
U0342,R08,System Administrator,ERP-PROD,2024-12-16,U0247,
U0256,R07,GL Approver,ERP-PROD,2022-08-02,U0146,
U0262,R11,Sales Rep,ERP-PROD,2025-12-09,U0130,
U0012,R08,System Administrator,ERP-PROD,2022-02-10,U0206,2026-03-16
U0358,R11,Sales Rep,ERP-PROD,2026-02-10,U0017,2025-11-09
U0016,R05,Purchasing Approver,ERP-PROD,2026-02-22,,
U0268,R10,HR Generalist,ERP-PROD,2023-06-24,U0114,
U0128,R09,Read-Only Reporting,ERP-PROD,2024-09-02,U0025,
U0001,R10,HR Generalist,ERP-PROD,2022-07-19,U0162,
U0020,R09,Read-Only Reporting,ERP-PROD,2026-02-01,U0071,
U0264,R03,Vendor Master Maintainer,ERP-PROD,2022-10-03,U0229,
U0330,R10,HR Generalist,ERP-PROD,2022-12-15,U0036,
U0057,R05,Purchasing Approver,ERP-PROD,2026-04-05,U0153,
U0176,R03,Vendor Master Maintainer,ERP-PROD,2023-03-27,U0320,
U0396,R08,System Administrator,ERP-PROD,2026-03-05,U0379,
U0271,R02,AP Approver,ERP-PROD,2026-07-08,U0307,2024-06-25
U0214,R06,GL Preparer,ERP-PROD,2025-12-11,U0291,
U0257,R10,HR Generalist,ERP-PROD,2022-03-17,U0003,
U0347,R01,AP Clerk,ERP-PROD,2024-09-02,U0331,
U0026,R10,HR Generalist,ERP-PROD,2022-01-21,U0127,
U0324,R04,Purchasing Buyer,ERP-PROD,2025-04-22,U0134,
U0184,R04,Purchasing Buyer,ERP-PROD,2026-05-29,U0025,2020-02-14
U0255,R10,HR Generalist,ERP-PROD,2025-01-03,U0302,
U0043,R10,HR Generalist,ERP-PROD,2026-07-12,U0314,
U0166,R11,Sales Rep,ERP-PROD,2026-05-12,U0131,
U0373,R06,GL Preparer,ERP-PROD,2024-07-21,,
U0204,R05,Purchasing Approver,ERP-PROD,2022-01-05,U0200,
U0243,R10,HR Generalist,ERP-PROD,2024-08-26,U0012,
U0265,R09,Read-Only Reporting,ERP-PROD,2025-01-17,U0261,
U0309,R10,HR Generalist,ERP-PROD,2026-02-11,U0086,
U0023,R02,AP Approver,ERP-PROD,2025-01-20,U0139,
U0047,R10,HR Generalist,ERP-PROD,2025-03-14,U0132,
U0390,R01,AP Clerk,ERP-PROD,2023-07-18,U0125,
U0300,R06,GL Preparer,ERP-PROD,2024-09-02,U0005,
U0246,R03,Vendor Master Maintainer,ERP-PROD,2023-07-28,U0311,
U0336,R11,Sales Rep,ERP-PROD,2022-09-26,U0398,
U0058,R07,GL Approver,ERP-PROD,2022-04-11,U0028,
U0392,R11,Sales Rep,ERP-PROD,2026-07-03,U0179,
U0025,R07,GL Approver,ERP-PROD,2025-05-27,U0184,
U0018,R10,HR Generalist,ERP-PROD,2026-07-01,,
U0066,R04,Purchasing Buyer,ERP-PROD,2025-10-26,U0032,
U0169,R06,GL Preparer,ERP-PROD,2025-03-07,U0235,
U0230,R06,GL Preparer,ERP-PROD,2023-10-19,U0092,2024-03-25
U0032,R08,System Administrator,ERP-PROD,2026-04-30,U0309,
U0083,R08,System Administrator,ERP-PROD,2026-05-05,U0192,2025-05-31
U0367,R06,GL Preparer,ERP-PROD,2026-01-31,U0384,
U0325,R11,Sales Rep,ERP-PROD,2026-03-08,U0005,
U0173,R08,System Administrator,ERP-PROD,2023-12-08,U0215,
U0259,R03,Vendor Master Maintainer,ERP-PROD,2026-01-31,U0130,
U0092,R10,HR Generalist,ERP-PROD,2025-12-24,U0011,2023-01-11
U0222,R11,Sales Rep,ERP-PROD,2025-05-07,U0229,
U0194,R10,HR Generalist,ERP-PROD,2026-03-22,U0272,
U0357,R10,HR Generalist,ERP-PROD,2024-01-05,U0268,
U0293,R08,System Administrator,ERP-PROD,2024-11-28,U0235,
U0168,R02,AP Approver,ERP-PROD,2025-11-03,U0388,
U0102,R08,System Administrator,ERP-PROD,2025-07-17,U0255,
U0335,R10,HR Generalist,ERP-PROD,2022-03-14,U0042,
U0006,R03,Vendor Master Maintainer,ERP-PROD,2023-12-14,U0361,
U0046,R05,Purchasing Approver,ERP-PROD,2025-06-01,U0006,
U0149,R08,System Administrator,ERP-PROD,2025-07-08,U0248,
U0283,R01,AP Clerk,ERP-PROD,2026-06-03,U0135,
U0352,R09,Read-Only Reporting,ERP-PROD,2023-11-13,U0272,
U0258,R02,AP Approver,ERP-PROD,2024-10-09,U0210,
U0017,R11,Sales Rep,ERP-PROD,2025-03-26,U0110,
U0378,R08,System Administrator,ERP-PROD,2023-01-02,U0048,2024-08-04
U0121,R08,System Administrator,ERP-PROD,2022-05-27,U0067,
U0369,R03,Vendor Master Maintainer,ERP-PROD,2021-02-12,U0282,
U0004,R09,Read-Only Reporting,ERP-PROD,2021-02-21,U0275,
U0019,R04,Purchasing Buyer,ERP-PROD,2024-09-28,U0256,2024-08-24
U0229,R09,Read-Only Reporting,ERP-PROD,2022-01-28,U0315,
U0060,R01,AP Clerk,ERP-PROD,2024-08-08,U0060,
U0208,R11,Sales Rep,ERP-PROD,2024-10-01,U0152,
U0136,R09,Read-Only Reporting,ERP-PROD,2025-09-29,U0247,
U0063,R11,Sales Rep,ERP-PROD,2025-04-09,U0239,
U0108,R01,AP Clerk,ERP-PROD,2022-08-06,U0115,
U0287,R09,Read-Only Reporting,ERP-PROD,2024-06-21,U0118,
U0202,R05,Purchasing Approver,ERP-PROD,2026-01-05,U0037,
U0030,R04,Purchasing Buyer,ERP-PROD,2026-06-18,U0097,
U0148,R11,Sales Rep,ERP-PROD,2023-04-22,U0313,
U0127,R08,System Administrator,ERP-PROD,2023-03-12,U0328,
U0027,R03,Vendor Master Maintainer,ERP-PROD,2021-05-29,U0392,
U0008,R08,System Administrator,ERP-PROD,2024-11-29,U0154,
U0372,R09,Read-Only Reporting,ERP-PROD,2024-12-20,U0393,
U0106,R06,GL Preparer,ERP-PROD,2026-07-07,U0093,
U0210,R08,System Administrator,ERP-PROD,2026-05-26,U0306,
U0382,R07,GL Approver,ERP-PROD,2025-12-06,U0062,
U0115,R11,Sales Rep,ERP-PROD,2018-11-23,U0232,
U0112,R08,System Administrator,ERP-PROD,2025-07-09,U0212,
U0161,R08,System Administrator,ERP-PROD,2024-03-03,U0028,
U0386,R08,System Administrator,ERP-PROD,2024-08-08,U0295,
U0304,R10,HR Generalist,ERP-PROD,2024-08-28,U0185,2025-04-29
U0314,R10,HR Generalist,ERP-PROD,2021-09-13,U0339,
U0150,R10,HR Generalist,ERP-PROD,2025-05-13,U0024,
U0273,R07,GL Approver,ERP-PROD,2026-01-08,U0103,
U0365,R01,AP Clerk,ERP-PROD,2024-08-28,U0050,
U0137,R08,System Administrator,ERP-PROD,2026-08-01,U0057,
U0302,R10,HR Generalist,ERP-PROD,2025-05-05,U0051,
U0364,R03,Vendor Master Maintainer,ERP-PROD,2021-01-12,U0376,
U0363,R08,System Administrator,ERP-PROD,2024-12-07,U0363,
U0183,R08,System Administrator,ERP-PROD,2025-09-01,U0332,
U0107,R07,GL Approver,ERP-PROD,2022-08-08,U0349,
U0205,R07,GL Approver,ERP-PROD,2020-06-15,U0184,
U0140,R01,AP Clerk,ERP-PROD,2022-09-04,U0185,
U0329,R09,Read-Only Reporting,ERP-PROD,2023-10-31,U0333,
U0147,R04,Purchasing Buyer,ERP-PROD,2024-03-31,U0214,
U0165,R11,Sales Rep,ERP-PROD,2020-01-13,U0085,
U0244,R03,Vendor Master Maintainer,ERP-PROD,2026-01-03,U0021,
U0082,R10,HR Generalist,ERP-PROD,2026-04-22,U0227,
U0348,R07,GL Approver,ERP-PROD,2025-11-07,U0376,
U0172,R09,Read-Only Reporting,ERP-PROD,2021-10-10,U0199,
U0074,R09,Read-Only Reporting,ERP-PROD,2020-08-15,U0213,
U0227,R11,Sales Rep,ERP-PROD,2025-09-30,U0397,
U0337,R04,Purchasing Buyer,ERP-PROD,2022-06-18,U0129,
U0186,R06,GL Preparer,ERP-PROD,2025-04-11,U0151,
U0116,R01,AP Clerk,ERP-PROD,2022-05-16,U0251,
U0230,R07,GL Approver,ERP-PROD,2023-09-22,U0377,2024-03-25
U0189,R11,Sales Rep,ERP-PROD,2025-06-07,U0079,
U0291,R06,GL Preparer,ERP-PROD,2026-05-28,U0296,
U0341,R05,Purchasing Approver,ERP-PROD,2022-04-22,U0323,
U0190,R07,GL Approver,ERP-PROD,2023-07-28,U0294,
U0195,R01,AP Clerk,ERP-PROD,2026-07-27,U0178,2026-03-24
U0318,R10,HR Generalist,ERP-PROD,2022-01-16,U0270,
U0217,R03,Vendor Master Maintainer,ERP-PROD,2026-05-16,U0121,
U0037,R08,System Administrator,ERP-PROD,2026-04-07,U0070,
U0135,R09,Read-Only Reporting,ERP-PROD,2022-02-03,,
U0355,R08,System Administrator,ERP-PROD,2021-09-02,U0269,
U0182,R08,System Administrator,ERP-PROD,2023-11-14,U0105,
U0324,R05,Purchasing Approver,ERP-PROD,2025-12-05,U0389,
U0381,R06,GL Preparer,ERP-PROD,2023-02-21,U0395,
U0059,R05,Purchasing Approver,ERP-PROD,2021-04-10,U0106,
U0109,R09,Read-Only Reporting,ERP-PROD,2022-04-22,U0134,
U0286,R04,Purchasing Buyer,ERP-PROD,2026-02-25,U0378,
U0231,R02,AP Approver,ERP-PROD,2023-09-29,U0033,
U0007,R10,HR Generalist,ERP-PROD,2020-06-10,U0047,2021-06-01
U0295,R02,AP Approver,ERP-PROD,2026-06-04,U0176,
U0391,R09,Read-Only Reporting,ERP-PROD,2025-07-23,U0295,
U0153,R09,Read-Only Reporting,ERP-PROD,2025-12-27,U0339,
U0145,R08,System Administrator,ERP-PROD,2024-06-19,U0216,
U0170,R10,HR Generalist,ERP-PROD,2026-07-27,U0003,
U0175,R07,GL Approver,ERP-PROD,2026-06-15,U0281,
U0011,R10,HR Generalist,ERP-PROD,2021-09-14,U0032,
U0369,R02,AP Approver,ERP-PROD,2020-11-13,U0274,
U0101,R04,Purchasing Buyer,ERP-PROD,2026-06-30,U0207,
U0081,R08,System Administrator,ERP-PROD,2020-08-15,U0069,
U0039,R01,AP Clerk,ERP-PROD,2026-06-29,U0288,
U0326,R04,Purchasing Buyer,ERP-PROD,2020-07-18,U0393,
U0160,R09,Read-Only Reporting,ERP-PROD,2025-09-03,U0288,
U0384,R08,System Administrator,ERP-PROD,2022-12-07,U0277,
U0343,R08,System Administrator,ERP-PROD,2025-11-24,U0112,
U0185,R11,Sales Rep,ERP-PROD,2024-12-05,U0325,
U0350,R07,GL Approver,ERP-PROD,2025-10-09,U0151,
U0195,R02,AP Approver,ERP-PROD,2026-04-21,U0125,2026-03-24
U0277,R08,System Administrator,ERP-PROD,2021-08-04,U0258,
U0182,R07,GL Approver,ERP-PROD,2025-08-20,U0053,
U0087,R09,Read-Only Reporting,ERP-PROD,2026-01-16,U0064,
U0269,R05,Purchasing Approver,ERP-PROD,2026-03-31,U0315,
U0157,R06,GL Preparer,ERP-PROD,2024-03-28,U0228,
U0297,R10,HR Generalist,ERP-PROD,2026-04-12,U0231,
U0142,R08,System Administrator,ERP-PROD,2024-08-28,U0184,
U0003,R10,HR Generalist,ERP-PROD,2025-07-03,U0055,
U0090,R08,System Administrator,ERP-PROD,2026-03-30,U0015,
U0346,R04,Purchasing Buyer,ERP-PROD,2026-07-22,U0317,2026-08-30
U0069,R06,GL Preparer,ERP-PROD,2024-08-09,U0062,
U0235,R08,System Administrator,ERP-PROD,2022-03-14,U0297,
U0120,R08,System Administrator,ERP-PROD,2025-09-23,U0321,
U0398,R05,Purchasing Approver,ERP-PROD,2025-09-11,U0109,
U0094,R11,Sales Rep,ERP-PROD,2025-08-13,U0312,
U0138,R02,AP Approver,ERP-PROD,2022-12-26,U0330,
U0361,R10,HR Generalist,ERP-PROD,2026-04-04,U0252,
U0294,R04,Purchasing Buyer,ERP-PROD,2024-10-04,U0298,
U0380,R04,Purchasing Buyer,ERP-PROD,2024-10-02,U0329,2023-09-19
U0095,R07,GL Approver,ERP-PROD,2026-04-25,U0193,
U0254,R03,Vendor Master Maintainer,ERP-PROD,2025-05-11,U0220,2023-08-10
U0068,R08,System Administrator,ERP-PROD,2025-08-16,U0154,
U0024,R09,Read-Only Reporting,ERP-PROD,2024-01-21,U0399,
U0038,R05,Purchasing Approver,ERP-PROD,2025-10-07,U0328,
