transaction_id,txn_date,preparer_id,amount
T000189,2025-10-25 00:00:00,U0359,4900.0
T000197,2025-09-06 00:00:00,U0162,4950.0
T000267,2026-04-17 00:00:00,U0039,4999.0
T000282,2025-10-04 00:00:00,U0039,4995.0
T000330,2025-09-19 00:00:00,U0266,4922.77
T000428,2026-02-16 00:00:00,U0004,4754.39
T000570,2025-12-26 00:00:00,U0327,4831.64
T000765,2026-01-30 00:00:00,U0162,4999.0
T000795,2025-09-21 00:00:00,U0162,4999.0
T000819,2025-11-08 00:00:00,U0117,4995.0
T000923,2026-05-01 00:00:00,U0146,4999.0
T001002,2025-09-14 00:00:00,U0162,4900.0
T001029,2026-03-24 00:00:00,U0296,4830.89
T001100,2025-11-02 00:00:00,U0354,4838.8
T001120,2026-08-10 00:00:00,U0233,4901.09
T001413,2026-01-19 00:00:00,U0249,4513.04
T001428,2026-04-18 00:00:00,U0039,4999.0
T001448,2025-10-17 00:00:00,U0399,4730.7
T001520,2026-03-04 00:00:00,U0177,4758.34
T001524,2026-02-15 00:00:00,U0162,4900.0
T001622,2026-07-29 00:00:00,U0316,4737.41
T001663,2026-08-16 00:00:00,U0039,4763.69
T001758,2026-03-14 00:00:00,U0117,4900.0
T001781,2026-06-29 00:00:00,U0359,4950.0
T001917,2026-05-04 00:00:00,U0100,4999.0
T001954,2026-01-24 00:00:00,U0158,4824.64
T001957,2026-07-12 00:00:00,U0100,4950.0
T002131,2025-10-01 00:00:00,U0162,4995.0
T002160,2026-04-25 00:00:00,U0359,4999.0
T002211,2026-06-20 00:00:00,U0301,4907.37
T002214,2026-04-25 00:00:00,U0051,4564.06
T002228,2026-06-06 00:00:00,U0073,4567.59
T002254,2025-09-27 00:00:00,U0204,4962.64
T002379,2026-05-23 00:00:00,U0039,4995.0
T002567,2026-07-12 00:00:00,U0321,4732.45
T002588,2025-12-26 00:00:00,U0193,4901.45
T002625,2025-09-13 00:00:00,U0100,4995.0
T002635,2026-07-04 00:00:00,U0039,4999.0
T002705,2026-02-14 00:00:00,U0162,4900.0
T002746,2026-08-18 00:00:00,U0004,4507.5
T002825,2025-09-24 00:00:00,U0039,4900.0
T002886,2026-04-04 00:00:00,U0146,4900.0
T002938,2026-03-28 00:00:00,U0146,4995.0
T003061,2026-03-19 00:00:00,U0146,4999.0
T003112,2025-10-19 00:00:00,U0100,4999.0
T003260,2026-07-18 00:00:00,U0039,4950.0
T003322,2026-04-27 00:00:00,U0359,4999.0
T003365,2025-12-21 00:00:00,U0074,4888.55
T003369,2025-12-13 00:00:00,U0146,4995.0
T003381,2025-09-16 00:00:00,U0117,4995.0
T003413,2026-06-16 00:00:00,U0117,4900.0
T003427,2026-05-31 00:00:00,U0117,4995.0
T003456,2026-03-07 00:00:00,U0039,4900.0
T003467,2025-11-15 00:00:00,U0386,4682.32
T003513,2025-11-10 00:00:00,U0328,4713.89
T003586,2026-05-12 00:00:00,U0331,4791.97
T003593,2026-06-19 00:00:00,U0074,4941.52
T003620,2026-02-07 00:00:00,U0100,4900.0
T003653,2025-10-31 00:00:00,U0100,4900.0
T003663,2026-03-19 00:00:00,U0344,4697.54
T003820,2026-02-13 00:00:00,U0379,4657.73
T003979,2026-05-08 00:00:00,U0359,4999.0
T004035,2026-07-05 00:00:00,U0394,4522.42
T004053,2025-09-06 00:00:00,U0162,4995.0
T004057,2026-01-30 00:00:00,U0359,4950.0
T004086,2026-04-04 00:00:00,U0162,4995.0
T004102,2025-09-14 00:00:00,U0146,4995.0
T004139,2025-11-20 00:00:00,U0117,4999.0
T004308,2026-08-01 00:00:00,U0100,4900.0
T004318,2026-01-03 00:00:00,U0100,4995.0
T004328,2026-06-27 00:00:00,U0039,4950.0
T004355,2025-10-15 00:00:00,U0016,4927.16
T004433,2025-11-09 00:00:00,U0117,4999.0
T004441,2025-10-23 00:00:00,U0259,4952.92
T004442,2026-05-17 00:00:00,U0039,4950.0
T004454,2026-05-22 00:00:00,U0171,4657.7
T004459,2026-08-29 00:00:00,U0039,4999.0
T004497,2026-04-05 00:00:00,U0100,4995.0
T004604,2025-11-18 00:00:00,U0337,4829.85
T004615,2026-02-28 00:00:00,U0117,4900.0
T004637,2026-07-04 00:00:00,U0359,4999.0
T004773,2025-09-27 00:00:00,U0039,4950.0
T004788,2025-10-25 00:00:00,U0039,4900.0
T004825,2026-02-01 00:00:00,U0146,4900.0
T005001,2026-06-23 00:00:00,U0100,4995.0
T005042,2025-11-08 00:00:00,U0162,4900.0
T005111,2025-12-21 00:00:00,U0308,4658.25
T005136,2025-10-04 00:00:00,U0359,4995.0
T005168,2026-07-26 00:00:00,U0100,4950.0
T005183,2026-08-08 00:00:00,U0146,4995.0
T005335,2025-11-17 00:00:00,U0266,4793.66
T005359,2026-05-23 00:00:00,U0157,4558.96
T005385,2026-06-20 00:00:00,U0162,4995.0
T005440,2026-01-11 00:00:00,U0359,4900.0
T005516,2026-05-03 00:00:00,U0039,4900.0
T005527,2026-01-29 00:00:00,U0146,4950.0
T005535,2026-04-05 00:00:00,U0359,4950.0
T005560,2025-09-20 00:00:00,U0359,4999.0
T005601,2026-07-18 00:00:00,U0285,4870.38
T005614,2026-01-25 00:00:00,U0162,4950.0
T005656,2025-10-16 00:00:00,U0175,4626.06
T005749,2026-02-25 00:00:00,U0037,4881.38
T005898,2026-03-16 00:00:00,U0385,4954.46
T005968,2026-07-25 00:00:00,U0100,4995.0
T005981,2025-09-20 00:00:00,U0146,4995.0
